#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
143	15/03/2023	17:39:32.477	0.00000000E+0	1.15201957E+0	4.00000000E+0	9.90568094E-1	2.48000000E+3	4.65804860E-1
145	15/03/2023	17:39:35.440	0.00000000E+0	1.25671376E+0	4.00000000E+0	5.82951049E+0	2.47400000E+3	5.12296306E-1
147	15/03/2023	17:39:38.442	0.00000000E+0	1.36140795E+0	4.00000000E+0	1.68124294E+0	2.51100000E+3	3.64531934E-1
149	15/03/2023	17:39:41.430	0.00000000E+0	1.46610214E+0	4.00000000E+0	5.68071435E+0	2.51200000E+3	3.45647143E-1
151	15/03/2023	17:39:44.429	0.00000000E+0	1.57079633E+0	4.00000000E+0	5.87859787E+0	2.48700000E+3	3.15368762E-1
153	15/03/2023	17:39:47.417	0.00000000E+0	1.67549052E+0	4.00000000E+0	1.99072357E+0	2.47400000E+3	3.64092751E-1
155	15/03/2023	17:39:50.380	0.00000000E+0	1.78018470E+0	4.00000000E+0	2.67679647E+0	2.47000000E+3	4.50723049E-1
157	15/03/2023	17:39:53.440	0.00000000E+0	1.88487889E+0	4.00000000E+0	1.62601964E-1	2.48400000E+3	5.42581835E-1
159	15/03/2023	17:39:56.459	0.00000000E+0	1.98957308E+0	4.00000000E+0	5.56988424E+0	2.49500000E+3	5.38411012E-1
161	15/03/2023	17:39:59.500	0.00000000E+0	2.09426727E+0	4.00000000E+0	2.64343239E+0	2.52200000E+3	3.82538012E-1
163	15/03/2023	17:40:02.552	0.00000000E+0	2.19896146E+0	4.00000000E+0	2.48159742E+0	2.51200000E+3	3.30278182E-1
165	15/03/2023	17:40:05.628	0.00000000E+0	2.30365565E+0	4.00000000E+0	3.72412186E+0	2.50800000E+3	3.50894186E-1
167	15/03/2023	17:40:08.570	0.00000000E+0	2.40873333E+0	4.00000000E+0	1.65363129E+0	2.49000000E+3	3.79612122E-1
169	15/03/2023	17:40:11.535	0.00000000E+0	2.51342752E+0	4.00000000E+0	4.45928215E+0	2.47800000E+3	6.31341768E-1
171	15/03/2023	17:40:14.526	0.00000000E+0	2.61812171E+0	4.00000000E+0	5.48091336E+0	2.50900000E+3	5.19506016E-1
173	15/03/2023	17:40:17.499	0.00000000E+0	2.72281590E+0	4.00000000E+0	1.11980598E+0	2.51300000E+3	3.31428304E-1
175	15/03/2023	17:40:20.478	0.00000000E+0	2.82751009E+0	4.00000000E+0	3.51128202E+0	2.49700000E+3	3.81084765E-1
177	15/03/2023	17:40:23.442	0.00000000E+0	2.93220428E+0	4.00000000E+0	6.13630665E+0	2.47000000E+3	6.04085548E-1
179	15/03/2023	17:40:26.493	0.00000000E+0	3.03689846E+0	4.00000000E+0	2.62118967E+0	2.47100000E+3	6.60320850E-1
181	15/03/2023	17:40:29.531	0.00000000E+0	3.14159265E+0	4.00000000E+0	3.13353925E+0	2.49900000E+3	6.42042105E-1
183	15/03/2023	17:40:32.446	0.00000000E+0	3.24628684E+0	4.00000000E+0	4.14098114E+0	2.51600000E+3	3.98792859E-1
185	15/03/2023	17:40:35.459	0.00000000E+0	3.35098103E+0	4.00000000E+0	5.12848127E+0	2.50100000E+3	5.46130047E-1
187	15/03/2023	17:40:38.433	0.00000000E+0	3.45567522E+0	4.00000000E+0	5.67572892E-2	2.51100000E+3	4.65568782E-1
189	15/03/2023	17:40:41.436	0.00000000E+0	3.56036941E+0	4.00000000E+0	3.94348111E+0	2.48400000E+3	4.10629788E-1
191	15/03/2023	17:40:44.340	0.00000000E+0	3.66506360E+0	4.00000000E+0	5.84753476E+0	2.48700000E+3	4.60570003E-1
193	15/03/2023	17:40:47.318	0.00000000E+0	3.76975779E+0	4.00000000E+0	2.19397602E+0	2.50500000E+3	4.80524569E-1
195	15/03/2023	17:40:50.291	0.00000000E+0	3.87445198E+0	4.00000000E+0	1.65286430E+0	2.47300000E+3	5.36850373E-1
197	15/03/2023	17:40:53.266	0.00000000E+0	3.97952966E+0	4.00000000E+0	2.17671874E+0	2.47900000E+3	4.72578733E-1
199	15/03/2023	17:40:56.286	0.00000000E+0	4.08422385E+0	4.00000000E+0	2.61773821E+0	2.49300000E+3	5.65361922E-1
201	15/03/2023	17:40:59.249	0.00000000E+0	4.18891804E+0	4.00000000E+0	2.69635473E+0	2.51600000E+3	5.91480499E-1
203	15/03/2023	17:41:02.252	0.00000000E+0	4.29361223E+0	4.00000000E+0	4.17204425E+0	2.50100000E+3	5.30637235E-1
205	15/03/2023	17:41:05.231	0.00000000E+0	4.39830641E+0	4.00000000E+0	2.51802946E+0	2.51000000E+3	6.63627429E-1
207	15/03/2023	17:41:08.268	0.00000000E+0	4.50300060E+0	4.00000000E+0	1.79705849E+0	2.51400000E+3	6.36210853E-1
209	15/03/2023	17:41:11.245	0.00000000E+0	4.60769479E+0	4.00000000E+0	2.41410226E+0	2.49600000E+3	5.63749297E-1
