#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
85	15/03/2023	17:08:23.739	2.69980619E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
86	15/03/2023	17:08:25.218	2.59396151E+0	-2.54100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
87	15/03/2023	17:08:26.714	5.31677741E+0	2.50200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
88	15/03/2023	17:08:28.167	2.15716048E+0	-2.48800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
89	15/03/2023	17:08:29.662	5.51005899E+0	2.47600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
90	15/03/2023	17:08:31.124	4.35267049E+0	-2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
91	15/03/2023	17:08:32.685	2.56711685E+0	2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
92	15/03/2023	17:08:34.196	3.66813156E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
93	15/03/2023	17:08:35.702	1.03390305E+0	2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
94	15/03/2023	17:08:37.149	1.86455365E+0	-2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
95	15/03/2023	17:08:38.619	8.81271963E-1	2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
96	15/03/2023	17:08:40.167	4.16935978E+0	-2.48000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
97	15/03/2023	17:08:41.660	2.43327702E+0	2.48900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
98	15/03/2023	17:08:43.157	6.13170470E+0	-2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
99	15/03/2023	17:08:44.628	1.02316519E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
100	15/03/2023	17:08:46.109	2.21123331E+0	-2.51800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
101	15/03/2023	17:08:47.599	2.69098580E+0	2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
102	15/03/2023	17:08:49.113	2.01833522E+0	-2.48200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
103	15/03/2023	17:08:50.625	3.73984516E+0	2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
104	15/03/2023	17:08:52.120	1.72074295E+0	-2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
105	15/03/2023	17:08:53.616	2.07854397E+0	2.51200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
106	15/03/2023	17:08:55.159	5.67035998E+0	-2.51200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
107	15/03/2023	17:08:56.674	1.28087396E-1	2.49700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
108	15/03/2023	17:08:58.160	3.91165101E+0	-2.48500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
109	15/03/2023	17:08:59.661	4.63223848E+0	2.48200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
110	15/03/2023	17:09:01.160	5.46979199E+0	-2.51200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
111	15/03/2023	17:09:02.653	4.33464621E+0	2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
112	15/03/2023	17:09:04.171	5.93803963E+0	-2.49300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
113	15/03/2023	17:09:05.661	1.92974783E+0	2.47600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
114	15/03/2023	17:09:07.171	2.84553436E-1	-2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
115	15/03/2023	17:09:08.708	4.74843753E+0	2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
116	15/03/2023	17:09:10.199	5.49702015E+0	-2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
117	15/03/2023	17:09:11.688	1.70233518E+0	2.50700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
118	15/03/2023	17:09:13.196	3.27159753E+0	-2.48500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
119	15/03/2023	17:09:14.706	5.21821915E+0	2.48000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
120	15/03/2023	17:09:16.204	1.47223806E+0	-2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
121	15/03/2023	17:09:17.684	5.44256384E+0	2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
122	15/03/2023	17:09:19.165	5.20671429E+0	-2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
123	15/03/2023	17:09:20.631	1.41049533E+0	2.47100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
