0.010700	-0.024859	-0.024859	-0.024615	-0.026324	-0.025592	-0.023394	-0.024615	-0.025836	-0.027301	-0.027301	-0.025103
0.010800	-0.023150	-0.022662	-0.023394	-0.024859	-0.025836	-0.023150	-0.025592	-0.025103	-0.026080	-0.027789	-0.025103
0.010900	-0.024615	-0.021929	-0.024859	-0.023394	-0.026080	-0.024615	-0.024615	-0.025347	-0.025103	-0.025592	-0.025836
0.011000	-0.026324	-0.022174	-0.025103	-0.023883	-0.024859	-0.023150	-0.023883	-0.026080	-0.024615	-0.023638	-0.027545
0.011100	-0.026568	-0.022906	-0.023883	-0.023638	-0.023883	-0.023150	-0.025592	-0.023883	-0.022418	-0.025592	-0.027789
0.011200	-0.027545	-0.025103	-0.021929	-0.023394	-0.025103	-0.024615	-0.026568	-0.025103	-0.022418	-0.023883	-0.025103
0.011300	-0.027545	-0.024859	-0.023638	-0.025836	-0.022906	-0.025592	-0.024371	-0.025347	-0.021929	-0.022418	-0.027056
0.011400	-0.026080	-0.023883	-0.022418	-0.025592	-0.020953	-0.023883	-0.023638	-0.025592	-0.022662	-0.021685	-0.025836
0.011500	-0.026080	-0.024859	-0.022662	-0.025347	-0.023883	-0.023150	-0.023638	-0.025592	-0.022174	-0.019976	-0.026080
0.011600	-0.024371	-0.024859	-0.022418	-0.023394	-0.020953	-0.023883	-0.023150	-0.024859	-0.021929	-0.023394	-0.026080
0.011700	-0.021929	-0.022662	-0.020220	-0.024371	-0.021197	-0.024615	-0.022906	-0.025103	-0.022906	-0.023883	-0.024371
0.011800	-0.022418	-0.021685	-0.020709	-0.026080	-0.022906	-0.023638	-0.020953	-0.022174	-0.023150	-0.023150	-0.025103
0.011900	-0.021197	-0.019732	-0.020465	-0.022906	-0.021441	-0.023883	-0.021441	-0.023150	-0.023150	-0.023394	-0.024859
0.012000	-0.021441	-0.017779	-0.021197	-0.021197	-0.019732	-0.021685	-0.022662	-0.026324	-0.023394	-0.022662	-0.023638
0.012100	-0.022418	-0.018511	-0.021197	-0.021685	-0.020709	-0.019244	-0.021929	-0.023394	-0.021929	-0.023150	-0.023394
0.012200	-0.023638	-0.017535	-0.020709	-0.022906	-0.019244	-0.021685	-0.022906	-0.019732	-0.020953	-0.021929	-0.022418
0.012300	-0.022906	-0.019000	-0.020465	-0.023638	-0.018756	-0.020465	-0.020220	-0.021441	-0.020953	-0.020220	-0.021685
0.012400	-0.023394	-0.019732	-0.019732	-0.020709	-0.017047	-0.019976	-0.020465	-0.022906	-0.018267	-0.020465	-0.022418
0.012500	-0.022662	-0.019976	-0.019976	-0.021929	-0.018267	-0.019976	-0.019976	-0.022174	-0.017779	-0.017779	-0.021197
0.012600	-0.022662	-0.020220	-0.018511	-0.023150	-0.017291	-0.019000	-0.019732	-0.021441	-0.020709	-0.019976	-0.022174
0.012700	-0.019000	-0.017535	-0.016314	-0.023394	-0.016070	-0.018756	-0.018267	-0.019244	-0.020709	-0.020465	-0.020953
0.012800	-0.019244	-0.016314	-0.017779	-0.021441	-0.019732	-0.018023	-0.016802	-0.019732	-0.019976	-0.018756	-0.021441
0.012900	-0.019732	-0.015826	-0.015582	-0.021197	-0.017779	-0.017535	-0.016070	-0.020220	-0.018511	-0.020220	-0.021929
0.013000	-0.019000	-0.015093	-0.016070	-0.021441	-0.018511	-0.017535	-0.018756	-0.021685	-0.018756	-0.020220	-0.019976
0.013100	-0.019976	-0.016802	-0.015582	-0.019976	-0.020220	-0.015826	-0.017779	-0.019976	-0.022174	-0.021197	-0.020709
0.013200	-0.019732	-0.015826	-0.018023	-0.022906	-0.018756	-0.016314	-0.018756	-0.017047	-0.018511	-0.019976	-0.018511
0.013300	-0.020465	-0.014361	-0.017535	-0.021197	-0.019000	-0.016802	-0.017291	-0.019000	-0.019244	-0.019732	-0.018756
0.013400	-0.021929	-0.017291	-0.018511	-0.023150	-0.019244	-0.015582	-0.018023	-0.018756	-0.017779	-0.018267	-0.019732
0.013500	-0.021441	-0.018511	-0.017291	-0.021441	-0.018511	-0.018756	-0.019000	-0.018267	-0.016558	-0.019000	-0.019976
0.013600	-0.022174	-0.020220	-0.017779	-0.021197	-0.018023	-0.017779	-0.018023	-0.019732	-0.018267	-0.020220	-0.018267
0.013700	-0.020953	-0.020709	-0.018511	-0.022418	-0.018267	-0.018267	-0.019000	-0.019732	-0.017535	-0.018023	-0.019732
0.013800	-0.020709	-0.019000	-0.017047	-0.022174	-0.018511	-0.018756	-0.016802	-0.017779	-0.018756	-0.019732	-0.021441
0.013900	-0.018756	-0.017535	-0.016802	-0.020953	-0.018023	-0.018267	-0.015826	-0.019732	-0.018756	-0.020220	-0.020953
0.014000	-0.019732	-0.017291	-0.016558	-0.022174	-0.017779	-0.017291	-0.016802	-0.019000	-0.018023	-0.019976	-0.019976
0.014100	-0.017779	-0.016314	-0.015826	-0.021685	-0.017779	-0.017779	-0.016070	-0.018023	-0.019000	-0.020220	-0.020220
0.014200	-0.018267	-0.014117	-0.016314	-0.020709	-0.019976	-0.016070	-0.018267	-0.019732	-0.020220	-0.019732	-0.018267
0.014300	-0.019732	-0.015582	-0.017535	-0.020220	-0.019976	-0.015826	-0.016558	-0.018511	-0.018023	-0.018267	-0.019244
0.014400	-0.020465	-0.015826	-0.017291	-0.018267	-0.018023	-0.017535	-0.018756	-0.017047	-0.018267	-0.019244	-0.017535
0.014500	-0.019244	-0.016558	-0.018023	-0.019000	-0.016802	-0.016558	-0.019976	-0.018511	-0.019000	-0.019244	-0.017291
0.014600	-0.019976	-0.017047	-0.017291	-0.019732	-0.016070	-0.017291	-0.020220	-0.018511	-0.016802	-0.020220	-0.018267
0.014700	-0.019976	-0.019000	-0.017535	-0.018756	-0.017779	-0.018511	-0.018756	-0.018023	-0.016802	-0.017291	-0.017535
