#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
98	10/05/2023	13:37:27.668	6.10639402E+0	-8.47000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
99	10/05/2023	13:37:29.148	5.73056873E+0	-7.99000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
100	10/05/2023	13:37:30.705	1.21414579E+0	-7.90000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
101	10/05/2023	13:37:32.191	4.10339861E-2	-8.41000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
102	10/05/2023	13:37:33.713	4.74882102E+0	-8.79000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
103	10/05/2023	13:37:35.200	5.33825314E+0	-9.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
104	10/05/2023	13:37:36.686	2.98551011E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
105	10/05/2023	13:37:38.275	4.02171413E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
106	10/05/2023	13:37:39.776	3.14734508E+0	-8.86000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
107	10/05/2023	13:37:41.251	1.92476239E+0	-8.65000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
108	10/05/2023	13:37:42.824	6.26055909E+0	-8.32000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
109	10/05/2023	13:37:44.295	4.08997628E+0	-7.83000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
110	10/05/2023	13:37:45.805	5.20211235E+0	-8.06000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
111	10/05/2023	13:37:47.268	3.38434511E+0	-8.68000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
112	10/05/2023	13:37:48.727	4.10876754E+0	-9.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
113	10/05/2023	13:37:50.367	5.49740365E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
114	10/05/2023	13:37:51.843	4.03935491E+0	-9.04000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
115	10/05/2023	13:37:53.339	2.63767996E+0	-9.10000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
116	10/05/2023	13:37:54.803	5.42070461E+0	-9.00000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
117	10/05/2023	13:37:56.323	1.21491278E+0	-8.84000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
118	10/05/2023	13:37:57.945	3.09940818E+0	-8.39000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
119	10/05/2023	13:37:59.393	9.71009839E-1	-8.29000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
120	10/05/2023	13:38:00.832	2.43135955E+0	-8.68000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
121	10/05/2023	13:38:02.404	4.37299573E+0	-8.94000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
122	10/05/2023	13:38:03.940	3.82344711E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
123	10/05/2023	13:38:05.544	8.56344775E-1	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
124	10/05/2023	13:38:07.034	4.03206850E+0	-9.03000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
125	10/05/2023	13:38:08.533	4.89339871E-1	-8.79000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
126	10/05/2023	13:38:10.078	9.98237998E-1	-8.48000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
127	10/05/2023	13:38:11.535	2.68715085E+0	-8.09000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
128	10/05/2023	13:38:13.002	5.85597166E+0	-7.78000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
129	10/05/2023	13:38:14.608	6.27244744E+0	-8.13000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
130	10/05/2023	13:38:16.121	1.28892736E+0	-8.48000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
131	10/05/2023	13:38:17.705	1.92437890E+0	-8.81000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
132	10/05/2023	13:38:19.190	3.99448597E+0	-8.98000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
133	10/05/2023	13:38:20.627	7.32475826E-2	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
