#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
131	15/03/2023	16:59:12.197	0.00000000E+0	5.23470944E-1	4.00000000E+0	6.18157218E-1	0.00000000E+0
133	15/03/2023	16:59:15.196	0.00000000E+0	6.28165133E-1	4.00000000E+0	4.87102888E-1	0.00000000E+0
135	15/03/2023	16:59:18.169	0.00000000E+0	7.32859321E-1	4.00000000E+0	6.48628750E-1	0.00000000E+0
137	15/03/2023	16:59:21.142	0.00000000E+0	8.37937005E-1	4.00000000E+0	5.92367135E-1	0.00000000E+0
139	15/03/2023	16:59:24.070	0.00000000E+0	9.42631194E-1	4.00000000E+0	3.52857571E-1	0.00000000E+0
141	15/03/2023	16:59:27.053	0.00000000E+0	1.04732538E+0	4.00000000E+0	4.19574091E-1	0.00000000E+0
143	15/03/2023	16:59:30.030	0.00000000E+0	1.15201957E+0	4.00000000E+0	4.03665225E-1	0.00000000E+0
145	15/03/2023	16:59:32.991	0.00000000E+0	1.25671376E+0	4.00000000E+0	4.08702073E-1	0.00000000E+0
147	15/03/2023	16:59:36.004	0.00000000E+0	1.36140795E+0	4.00000000E+0	4.96244136E-1	0.00000000E+0
149	15/03/2023	16:59:39.019	0.00000000E+0	1.46610214E+0	4.00000000E+0	6.28980819E-1	0.00000000E+0
151	15/03/2023	16:59:41.977	0.00000000E+0	1.57079633E+0	4.00000000E+0	6.24954683E-1	0.00000000E+0
153	15/03/2023	16:59:44.937	0.00000000E+0	1.67549052E+0	4.00000000E+0	3.39397579E-1	0.00000000E+0
155	15/03/2023	16:59:48.042	0.00000000E+0	1.78018470E+0	4.00000000E+0	4.21574309E-1	0.00000000E+0
157	15/03/2023	16:59:50.960	0.00000000E+0	1.88487889E+0	4.00000000E+0	5.66775013E-1	0.00000000E+0
159	15/03/2023	16:59:53.979	0.00000000E+0	1.98957308E+0	4.00000000E+0	4.26841944E-1	0.00000000E+0
161	15/03/2023	16:59:56.968	0.00000000E+0	2.09426727E+0	4.00000000E+0	3.36976508E-1	0.00000000E+0
163	15/03/2023	16:59:59.947	0.00000000E+0	2.19896146E+0	4.00000000E+0	6.15952754E-1	0.00000000E+0
165	15/03/2023	17:00:02.975	0.00000000E+0	2.30365565E+0	4.00000000E+0	6.31255823E-1	0.00000000E+0
167	15/03/2023	17:00:05.939	0.00000000E+0	2.40873333E+0	4.00000000E+0	6.02842942E-1	0.00000000E+0
169	15/03/2023	17:00:08.948	0.00000000E+0	2.51342752E+0	4.00000000E+0	3.47141126E-1	0.00000000E+0
171	15/03/2023	17:00:11.965	0.00000000E+0	2.61812171E+0	4.00000000E+0	6.38793954E-1	0.00000000E+0
173	15/03/2023	17:00:14.954	0.00000000E+0	2.72281590E+0	4.00000000E+0	6.01585744E-1	0.00000000E+0
175	15/03/2023	17:00:17.934	0.00000000E+0	2.82751009E+0	4.00000000E+0	6.24494860E-1	0.00000000E+0
177	15/03/2023	17:00:20.943	0.00000000E+0	2.93220428E+0	4.00000000E+0	4.24724396E-1	0.00000000E+0
179	15/03/2023	17:00:23.910	0.00000000E+0	3.03689846E+0	4.00000000E+0	3.25105977E-1	0.00000000E+0
181	15/03/2023	17:00:26.931	0.00000000E+0	3.14159265E+0	4.00000000E+0	3.55371705E-1	0.00000000E+0
183	15/03/2023	17:00:29.889	0.00000000E+0	3.24628684E+0	4.00000000E+0	6.14264020E-1	0.00000000E+0
185	15/03/2023	17:00:32.914	0.00000000E+0	3.35098103E+0	4.00000000E+0	3.35151671E-1	0.00000000E+0
187	15/03/2023	17:00:35.937	0.00000000E+0	3.45567522E+0	4.00000000E+0	5.92320135E-1	0.00000000E+0
189	15/03/2023	17:00:38.901	0.00000000E+0	3.56036941E+0	4.00000000E+0	5.02375724E-1	0.00000000E+0
191	15/03/2023	17:00:41.879	0.00000000E+0	3.66506360E+0	4.00000000E+0	5.51429486E-1	0.00000000E+0
193	15/03/2023	17:00:44.895	0.00000000E+0	3.76975779E+0	4.00000000E+0	5.19315680E-1	0.00000000E+0
195	15/03/2023	17:00:48.104	0.00000000E+0	3.87445198E+0	4.00000000E+0	6.31444502E-1	0.00000000E+0
197	15/03/2023	17:00:51.063	0.00000000E+0	3.97952966E+0	4.00000000E+0	5.62685788E-1	0.00000000E+0
199	15/03/2023	17:00:54.023	0.00000000E+0	4.08422385E+0	4.00000000E+0	3.97486118E-1	0.00000000E+0
201	15/03/2023	17:00:56.984	0.00000000E+0	4.18891804E+0	4.00000000E+0	6.14289914E-1	0.00000000E+0
203	15/03/2023	17:00:59.994	0.00000000E+0	4.29361223E+0	4.00000000E+0	5.96474166E-1	0.00000000E+0
205	15/03/2023	17:01:02.967	0.00000000E+0	4.39830641E+0	4.00000000E+0	5.97285975E-1	0.00000000E+0
207	15/03/2023	17:01:05.945	0.00000000E+0	4.50300060E+0	4.00000000E+0	6.03143058E-1	0.00000000E+0
209	15/03/2023	17:01:08.986	0.00000000E+0	4.60769479E+0	4.00000000E+0	3.58700570E-1	0.00000000E+0
211	15/03/2023	17:01:12.021	0.00000000E+0	4.71238898E+0	4.00000000E+0	5.17920847E-1	0.00000000E+0
213	15/03/2023	17:01:14.987	0.00000000E+0	4.81708317E+0	4.00000000E+0	5.87071431E-1	0.00000000E+0
215	15/03/2023	17:01:18.038	0.00000000E+0	4.92177736E+0	4.00000000E+0	4.38201335E-1	0.00000000E+0
217	15/03/2023	17:01:21.004	0.00000000E+0	5.02647155E+0	4.00000000E+0	4.47025286E-1	0.00000000E+0
219	15/03/2023	17:01:23.954	0.00000000E+0	5.13116574E+0	4.00000000E+0	5.44036762E-1	0.00000000E+0
221	15/03/2023	17:01:26.926	0.00000000E+0	5.23585992E+0	4.00000000E+0	4.31468956E-1	0.00000000E+0
223	15/03/2023	17:01:29.938	0.00000000E+0	5.34055411E+0	4.00000000E+0	3.70391456E-1	0.00000000E+0
225	15/03/2023	17:01:32.899	0.00000000E+0	5.44524830E+0	4.00000000E+0	5.91830259E-1	0.00000000E+0
227	15/03/2023	17:01:35.880	0.00000000E+0	5.55032599E+0	4.00000000E+0	4.12625336E-1	0.00000000E+0
229	15/03/2023	17:01:38.867	0.00000000E+0	5.65502017E+0	4.00000000E+0	4.10870425E-1	0.00000000E+0
231	15/03/2023	17:01:41.859	0.00000000E+0	5.75971436E+0	4.00000000E+0	3.32152609E-1	0.00000000E+0
233	15/03/2023	17:01:44.843	0.00000000E+0	5.86440855E+0	4.00000000E+0	3.78527573E-1	0.00000000E+0
235	15/03/2023	17:01:47.858	0.00000000E+0	5.96910274E+0	4.00000000E+0	4.62855566E-1	0.00000000E+0
237	15/03/2023	17:01:50.846	0.00000000E+0	6.07379693E+0	4.00000000E+0	4.30812895E-1	0.00000000E+0
239	15/03/2023	17:01:53.819	0.00000000E+0	6.17849112E+0	4.00000000E+0	6.20807037E-1	0.00000000E+0
241	15/03/2023	17:01:56.775	0.00000000E+0	6.28318531E+0	4.00000000E+0	4.04786303E-1	0.00000000E+0
